Data Set 1:Wavelength(nm),Data Set 1:Absorbance
220.0,2.156
220.6,1.949
221.3,1.687
221.9,1.534
222.6,1.444
223.2,1.362
223.9,1.291
224.5,1.207
225.2,1.132
225.8,1.059
226.5,1.019
227.1,0.979
227.8,0.939
228.4,0.885
229.1,0.846
229.7,0.804
230.4,0.766
231.0,0.724
231.7,0.690
232.3,0.655
233.0,0.622
233.6,0.587
234.3,0.554
234.9,0.521
235.6,0.494
236.2,0.468
236.9,0.442
237.5,0.416
238.2,0.393
238.8,0.374
239.5,0.357
240.1,0.342
240.8,0.329
241.4,0.317
242.0,0.305
242.7,0.293
243.3,0.282
244.0,0.273
244.6,0.265
245.3,0.257
245.9,0.249
246.6,0.242
247.2,0.236
247.9,0.230
248.5,0.224
249.2,0.217
249.8,0.212
250.5,0.208
251.1,0.206
251.8,0.202
252.4,0.198
253.1,0.196
253.7,0.194
254.4,0.194
255.0,0.194
255.7,0.194
256.3,0.195
257.0,0.196
257.6,0.198
258.3,0.200
258.9,0.203
259.6,0.204
260.2,0.206
260.9,0.208
261.5,0.209
262.2,0.212
262.8,0.214
263.5,0.217
264.1,0.219
264.8,0.223
265.4,0.227
266.1,0.231
266.7,0.235
267.4,0.237
268.0,0.240
268.7,0.242
269.3,0.246
270.0,0.250
270.6,0.253
271.3,0.256
271.9,0.260
272.6,0.264
273.2,0.267
273.8,0.271
274.5,0.275
275.1,0.279
275.8,0.282
276.4,0.286
277.1,0.291
277.8,0.296
278.4,0.299
279.0,0.302
279.7,0.305
280.3,0.308
280.9,0.310
281.6,0.313
282.2,0.317
282.9,0.321
283.5,0.324
284.1,0.328
284.8,0.332
285.4,0.335
286.1,0.338
286.7,0.341
287.3,0.345
288.0,0.348
288.6,0.351
289.3,0.354
289.9,0.358
290.5,0.361
291.2,0.362
291.8,0.364
292.5,0.368
293.1,0.371
293.7,0.375
294.4,0.376
295.0,0.379
295.7,0.380
296.3,0.383
296.9,0.385
297.6,0.388
298.2,0.389
298.9,0.393
299.5,0.395
300.1,0.397
300.8,0.397
301.4,0.398
302.0,0.400
302.7,0.402
303.3,0.403
304.0,0.405
304.6,0.407
305.2,0.408
305.9,0.411
306.5,0.410
307.2,0.410
307.8,0.410
308.4,0.411
309.1,0.411
309.7,0.408
310.4,0.409
311.0,0.409
311.6,0.410
312.3,0.410
312.9,0.409
313.6,0.407
314.2,0.406
314.8,0.406
315.5,0.406
316.1,0.406
316.8,0.406
317.4,0.405
318.0,0.403
318.7,0.400
319.3,0.398
320.0,0.395
320.6,0.392
321.2,0.388
321.9,0.386
322.5,0.383
323.1,0.381
323.8,0.379
324.4,0.375
325.1,0.372
325.7,0.366
326.3,0.362
327.0,0.359
327.6,0.357
328.3,0.356
328.9,0.353
329.5,0.351
330.2,0.348
330.8,0.346
331.5,0.343
332.1,0.339
332.8,0.334
333.4,0.329
334.1,0.325
334.8,0.321
335.4,0.317
336.1,0.311
336.8,0.307
337.5,0.301
338.1,0.296
338.8,0.291
339.5,0.288
340.2,0.285
340.8,0.280
341.5,0.273
342.2,0.267
342.9,0.261
343.5,0.256
344.2,0.251
344.9,0.246
345.6,0.242
346.2,0.238
346.9,0.233
347.6,0.228
348.3,0.224
348.9,0.220
349.6,0.215
350.3,0.211
351.0,0.205
351.6,0.201
352.3,0.196
353.0,0.192
353.7,0.188
354.3,0.184
355.0,0.179
355.7,0.176
356.4,0.172
357.0,0.167
357.7,0.163
358.4,0.158
359.1,0.155
359.7,0.152
360.4,0.148
361.1,0.143
361.8,0.138
362.4,0.135
363.1,0.132
363.7,0.129
364.4,0.124
365.0,0.121
