Data Set 1:Wavelength(nm),Data Set 1:Absorbance,Data Set 2:Wavelength(nm),Data Set 2:Absorbance,6C QV AH UV:Wavelength(nm),6C QV AH UV:Absorbance,Data Set 4:Wavelength(nm),Data Set 4:Absorbance,Data Set 5:Wavelength(nm),Data Set 5:Absorbance
220.0,-0.257,220.0,3.000,220.0,3.000,220.0,0.486,220.0,0.464
220.6,-0.251,220.6,3.000,220.6,3.000,220.6,0.487,220.6,0.458
221.3,-0.239,221.3,3.000,221.3,3.000,221.3,0.478,221.3,0.450
221.9,-0.227,221.9,3.000,221.9,3.000,221.9,0.476,221.9,0.454
222.6,-0.217,222.6,3.000,222.6,3.000,222.6,0.468,222.6,0.453
223.2,-0.207,223.2,3.000,223.2,3.000,223.2,0.469,223.2,0.453
223.9,-0.197,223.9,3.000,223.9,3.000,223.9,0.465,223.9,0.448
224.5,-0.186,224.5,3.000,224.5,3.000,224.5,0.468,224.5,0.447
225.2,-0.177,225.2,3.000,225.2,3.000,225.2,0.462,225.2,0.444
225.8,-0.169,225.8,3.000,225.8,3.000,225.8,0.462,225.8,0.442
226.5,-0.162,226.5,3.000,226.5,3.000,226.5,0.460,226.5,0.440
227.1,-0.155,227.1,3.000,227.1,3.000,227.1,0.458,227.1,0.436
227.8,-0.149,227.8,3.000,227.8,3.000,227.8,0.457,227.8,0.436
228.4,-0.141,228.4,3.000,228.4,3.000,228.4,0.455,228.4,0.438
229.1,-0.135,229.1,3.000,229.1,3.000,229.1,0.454,229.1,0.439
229.7,-0.129,229.7,3.000,229.7,3.000,229.7,0.451,229.7,0.437
230.4,-0.124,230.4,3.000,230.4,3.000,230.4,0.447,230.4,0.431
231.0,-0.120,231.0,3.000,231.0,3.000,231.0,0.446,231.0,0.431
231.7,-0.115,231.7,3.000,231.7,3.000,231.7,0.445,231.7,0.431
232.3,-0.111,232.3,3.000,232.3,3.000,232.3,0.442,232.3,0.431
233.0,-0.105,233.0,3.000,233.0,3.000,233.0,0.442,233.0,0.429
