Data Set 3:Wavelength(nm),Data Set 3:Absorbance
220,3
220.6,3
221.3,3
221.9,3
222.6,3
223.2,3
223.9,3
224.5,3
225.2,3
225.8,3
226.5,3
227.1,3
227.8,3
228.4,3
229.1,3
229.7,3
230.4,3
231,3
231.7,3
232.3,3
233,3
233.6,3
234.3,3
234.9,3
235.6,3
236.2,3
236.9,3
237.5,3
238.2,2.379
238.8,1.902
239.5,1.668
240.1,1.471
240.8,1.291
241.4,1.138
242,1.006
242.7,0.892
243.3,0.794
244,0.714
244.6,0.65
245.3,0.598
245.9,0.556
246.6,0.524
247.2,0.5
247.9,0.479
248.5,0.462
249.2,0.449
249.8,0.439
250.5,0.431
251.1,0.424
251.8,0.417
252.4,0.41
253.1,0.403
253.7,0.396
254.4,0.387
255,0.378
255.7,0.371
256.3,0.363
257,0.356
257.6,0.349
258.3,0.343
258.9,0.337
259.6,0.331
260.2,0.326
260.9,0.321
261.5,0.316
262.2,0.31
262.8,0.305
263.5,0.301
264.1,0.297
264.8,0.293
265.4,0.289
266.1,0.285
266.7,0.282
267.4,0.281
268,0.276
268.7,0.272
269.3,0.268
270,0.265
270.6,0.262
271.3,0.257
271.9,0.253
272.6,0.252
273.2,0.251
273.8,0.25
274.5,0.246
275.1,0.245
275.8,0.243
276.4,0.243
277.1,0.242
277.8,0.241
278.4,0.238
279,0.234
279.7,0.232
280.3,0.23
280.9,0.229
281.6,0.228
282.2,0.226
282.9,0.224
283.5,0.222
284.1,0.223
284.8,0.223
285.4,0.223
286.1,0.222
286.7,0.222
287.3,0.222
288,0.223
288.6,0.224
289.3,0.224
289.9,0.225
290.5,0.224
291.2,0.224
291.8,0.222
292.5,0.222
293.1,0.222
293.7,0.222
294.4,0.221
295,0.221
295.7,0.222
296.3,0.222
296.9,0.223
297.6,0.223
298.2,0.223
298.9,0.223
299.5,0.223
300.1,0.224
300.8,0.224
301.4,0.225
302,0.225
302.7,0.226
303.3,0.226
304,0.226
304.6,0.224
305.2,0.225
305.9,0.224
306.5,0.224
307.2,0.224
307.8,0.224
308.4,0.226
309.1,0.227
309.7,0.227
310.4,0.225
311,0.225
311.6,0.223
312.3,0.222
312.9,0.219
313.6,0.218
314.2,0.218
314.8,0.217
315.5,0.217
316.1,0.216
316.8,0.218
317.4,0.218
318,0.219
318.7,0.217
319.3,0.217
320,0.216
320.6,0.215
321.2,0.214
321.9,0.214
322.5,0.214
323.1,0.214
323.8,0.214
324.4,0.215
325.1,0.214
325.7,0.214
326.3,0.214
327,0.214
327.6,0.212
328.3,0.208
328.9,0.202
329.5,0.196
330.2,0.19
330.8,0.187
331.5,0.187
332.1,0.188
332.8,0.19
333.4,0.19
334.1,0.192
334.8,0.191
335.4,0.191
336.1,0.191
336.8,0.19
337.5,0.19
338.1,0.187
338.8,0.184
339.5,0.182
340.2,0.181
340.8,0.18
341.5,0.177
342.2,0.174
342.9,0.172
343.5,0.17
344.2,0.169
344.9,0.167
345.6,0.165
346.2,0.164
346.9,0.163
347.6,0.16
348.3,0.158
348.9,0.157
349.6,0.156
350.3,0.155
351,0.153
351.6,0.15
352.3,0.147
353,0.146
353.7,0.145
354.3,0.143
355,0.141
355.7,0.139
356.4,0.138
357,0.137
357.7,0.135
358.4,0.133
359.1,0.13
359.7,0.129
360.4,0.127
361.1,0.126
361.8,0.124
362.4,0.122
363.1,0.12
363.7,0.116
364.4,0.114
365,0.116
365.7,0.115
366.4,0.114
367,0.109
367.7,0.106
368.3,0.104
369,0.102
369.7,0.099
370.3,0.097
371,0.095
371.6,0.094
372.3,0.094
372.9,0.091
373.6,0.089
374.3,0.087
374.9,0.087
375.6,0.085
376.2,0.083
376.9,0.082
377.6,0.08
378.2,0.077
378.9,0.077
379.5,0.075
380.2,0.075
380.8,0.073
381.5,0.071
382.2,0.069
382.8,0.066
383.5,0.064
384.1,0.063
384.8,0.064
385.5,0.064
386.1,0.062
386.8,0.059
387.4,0.057
388.1,0.054
388.7,0.054
389.4,0.055
390.1,0.056
390.7,0.057
391.4,0.056
392,0.053
392.7,0.049
393.4,0.045
394,0.044
394.7,0.044
395.3,0.046
396,0.046
396.6,0.045
397.3,0.044
398,0.043
398.6,0.042
399.3,0.041
399.9,0.039
400.6,0.037
401.3,0.036
401.9,0.037
402.6,0.038
403.2,0.038
403.9,0.037
404.5,0.035
405.2,0.034
405.9,0.035
406.5,0.034
407.2,0.032
407.8,0.029
408.5,0.027
409.2,0.029
409.8,0.031
410.5,0.031
411.1,0.029
411.8,0.027
412.4,0.026
413.1,0.027
413.8,0.026
414.4,0.027
415.1,0.024
415.8,0.022
416.4,0.02
417.1,0.02
417.7,0.021
418.4,0.022
419.1,0.022
419.7,0.023
420.4,0.024
421,0.022
421.7,0.02
422.4,0.018
423,0.016
423.7,0.018
424.3,0.02
425,0.02
425.7,0.019
426.3,0.019
427,0.022
427.6,0.022
428.3,0.02
429,0.016
429.6,0.014
430.3,0.016
430.9,0.017
431.6,0.017
432.3,0.013
432.9,0.012
433.6,0.01
434.2,0.01
434.9,0.012
435.6,0.013
436.2,0.011
436.9,0.007
437.5,0.008
438.2,0.012
438.9,0.013
439.5,0.011
440.2,0.009
440.8,0.01
441.5,0.011
442.2,0.012
442.8,0.011
443.5,0.011
444.1,0.009
444.8,0.007
445.5,0.006
446.1,0.007
446.8,0.009
447.4,0.009
448.1,0.008
448.8,0.006
449.4,0.005
450.1,0.005
450.8,0.004
451.4,0.003
452.1,0.002
452.7,0.002
453.4,0.001
454.1,0.002
454.7,0.004
455.4,0.005
456,0.007
456.7,0.005
457.4,0.003
458,0
458.7,-0.001
459.3,-0.002
460,-0.003
460.7,0
461.3,0
462,0.001
462.6,-0.001
463.3,-0.002
464,-0.002
464.6,-0.002
465.3,-0.002
465.9,-0.004
466.6,-0.006
467.3,-0.007
467.9,-0.008
468.6,-0.01
469.2,-0.009
469.9,-0.007
470.6,-0.007
471.2,-0.009
471.9,-0.009
472.5,-0.009
473.2,-0.008
473.9,-0.009
474.5,-0.009
475.2,-0.011
475.8,-0.011
476.5,-0.012
477.2,-0.011
477.8,-0.011
478.5,-0.013
479.1,-0.015
479.8,-0.016
480.5,-0.018
481.1,-0.019
481.8,-0.011
482.4,0.001
483.1,0.005
483.8,0.002
484.4,-0.011
485.1,-0.011
485.7,-0.011
486.4,-0.011
487,-0.01
487.7,-0.012
488.3,-0.014
489,-0.015
489.7,-0.014
490.3,-0.015
491,-0.017
